Time Now: 2025-07-17 08:14:20.201528
Cutoff Time: 2025-07-17 12:00:00
Now < Cutoff Time: True
Fetching news from 2025-07-16T12:00:00 to 2025-07-17T08:14:20.201528
('2025-07-16T12:00:00', 'RELIANCE', 'Reliance walks fine line on Russia-US energy  Breakingviews', 'https://news.google.com/rss/articles/CBMiqwFBVV95cUxPcGd2Tk9FcC0yMzFhRXpfblBtRFJ4NE1sa3RXUk5naVFjQ2Vad0s4cmFfTVAySVVfRHJZeEFYcEFDQXdWUDI1bFhlUTlsR1BPazlRYTJibW5sTzNBSE1TZThKYnBBSXBRTTU2dl9ObWxIaXRvQnU5emVxTFhTZGtzdHhLOWNlWks2NEdDZmpmWXotTGllZzFDN2JMb0FJWjQxQm1SblVycWhGejQ?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T12:19:15', 'HDFCBANK', 'Tata Neu HDFC Bank cardholders now get free Spotify Premium for 4 months  Business Standard', 'https://news.google.com/rss/articles/CBMi5AFBVV95cUxOM0lNSHFwSV9mOVg5eG5MaElYdWsxbWcwWnItZExhbG1Zd1lWT3lmMWpJaklzbjVLWUhwaTlzdWRZWjRMeVBVeUhiNDU0VHN4QUdVYzJtYmZBd1ZuU0hwNm9CVjR5T0kxQjktVFlMekJacGVibkw1d05FYkdyRlhlMkdTOHJUYVRIUk1UVU00TWljT1hHbE11bUQ0RkhWcVpicWVVYXFwdkcwcm9hcGptcnZkalZBWkV5T0U4V01OaEMwOEh1cERDbmo5QmJ3dWN5X1lSN1FfaTRHOW5qZ3ZMUjlUOGrSAeoBQVVfeXFMTXpzeXpVTnMwRkVCOVpXM3lUbUZjR0dTNzZybTdyUXRaR2RWbHJ2Y043Z05sZ18yM0RZZTJnbzlvblBsZWRxa2hJYm9UWFdZUUUtOWVUR3NFN1VHVmhDR2xxeXJyczBLSm1rU0cxTWlBcUY0Nzg5TXBaR3FyMHRHTW5XUk4yZUVLU092a281a3dPWk81MVRfOWhULTdSYXJMSlphT0hLOTd5UThPVGxOdzFSMWM2dE1SWG4wdmdBLVdMUHBGOHNtSjJiNl9sRERPQnBuOTFwU0xkMUExbU5FeHNpa3BSSWpTQW1B?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T12:20:20', 'LT', 'Lt. Gov. Roach Mourns Passing of Henry Feuerzeig  St. Thomas Source', 'https://news.google.com/rss/articles/CBMimAFBVV95cUxQOGFYN3dxY201M1dJT0ZlYmxaUUdjbm5XZVM4dHdyYkZyN2tCNWI3bU95anZCVTJFcUJMTm5wZ3FEMzd0R01YZVBwUmtFcGxZa2dYWENxVGEzTWNrRVY1R2hsRjVxUFBqcm0yUjRmcXRJd2RPNkVnOG1ydlpnLXpmRXJlUV9ibHBoa243TjRVMWd5WTZlLW13aw?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T12:20:42', 'ITC', 'ITC Hotels Stock Jumps 5% Post Q1 Earnings  Rediff', 'https://news.google.com/rss/articles/CBMimAFBVV95cUxPbkotSWxZd3J0T0x2dlJDWXVlLWRxa09kYWpLd1RsLWZhQXRGcWx1SDBpdUdSa0tUNmJ4SGNCSUpUbkNEMjZEZjZKUTJpZjBlZHQwRDBDdDdTZUJQTGFnQ2ZiMG9uTGd5c2JqZGpVdklQckZsZEtZUVhqM0RDdmZvZDZZSTNhV0NPREhBWU9Zc1FUWW1TYXVxedIBngFBVV95cUxPWmszNFgwc2FaN3IxaFZZMXN0R0Zobjk3NThyTURfc2oyNTFVVGh5bXlnN1hPYlhLRUxzRm9YWXU2UkpBVFlONFJJdnl4VlBERVE2bF93YzFhYWwyTW5vNlRpVktKMHBOdDZvS2RlX3pyb2I3dER4ZmxyLVB0aGhtWFJZanJsMUtxMzgwQklpanFCdlFhLTA5cEJQZGJMdw?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T12:21:51', 'SBI', 'India’s SBI Seeks $2.91 Billion Via Share Sale, Terms Show  Bloomberg', 'https://news.google.com/rss/articles/CBMiqwFBVV95cUxOTUhEQmRLUS00WW9tZXp2eVRZdkE0TDdBYjRxX3hZNVREY1laaXh6TXFsYjE3V3V6M3ZSd3gydlZzQkJBUWpIODl2OXU3R2ZfUlhWTC1hMkNGZFJwNTJOVmgyVHZqanFwOW9MdGc2OGRsOXZnUDBMUVlIZG5UM3AtRVpNNVZocEtwcWh0NHk5aFNBclZPVlV0WjJCQVlWTW84UlJ6WDdlZV9DLVk?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T12:22:57', 'NTPC', 'Cabinet increases investment limit to Rs 20,000 Cr for NTPC Ltd to accelerate renewable projects  Moneycontrol', 'https://news.google.com/rss/articles/CBMixwFBVV95cUxNdktkX1Jnb3ZLN0d2N3BMWUVOT05ManY5aG1IRUs3eldYcU1GcFRaa2IzZGI4QXdGc0c5VkZMNjJqbGNTeVFiekRDaGNlZDhSYnlCRFFVelR3dTJrM2luc1J6M1llSUtGcmNPWlhQd0lOX0tWdHpJWHFtR01aamVyMVdVdUE5cW5CSEhqRXVhWHprSWlHWkFCcXhSd3FyaW5falBQazh4RzNqTkZkYjBMcUxpQjZvdTdQc3V3eDBrWnJZZE4wUHVF0gHMAUFVX3lxTFBnWmpobUwtMHhCTzN0cXpqV0tXa2E3TXVXMzJiam85bmxVazdHU19FbWFDSUpQdW96Qm4zajVQaWhUdURqUk5janc4WnB4ZHR3eVJhVEJUNWlmVkZIOW1MSlQzOGxRQWEwYVB6Q2x2WjV0ZUNFWVhIWEplM1A4SDdyazhobm5vQ3VaRGxNNGEzTl9QOWZDbFVmdWtKUTRrN3VuODJvam8wV1ZmQnNyajZ6ZGkxdnY5TmRmMkNRMFdxQ3h3T1ZreG95aWozaQ?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T12:23:33', 'MARUTI', 'Maruti vs Mahindra: The Two Sides Of The CAFE-III Norms Conundrum  DriveSpark', 'https://news.google.com/rss/articles/CBMiwgFBVV95cUxQTFpVTU1vS2dtNHBnVEx0cjFlWlBfcXYzT1NDMTZFNWNVV3JUNDdnZkxJdk1pSnBQSXNqdFBfcEwyQmZscGJTN3dDWlR5ck1RWmhYeHZRdUhBaTVKN2ZGWUR0TDJDb19HeFhmRHhEWTV2cmdYRWlrUGJvRU5DbFBJVzF1TkZfTlVULXJYWG1pNDN1b2xqajZnWDBoZ0NPX0loTmdzRzJrQVZDRE1VQVV3cXBsWWNuSlNuaWJIVWpIV0szUQ?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T12:27:42', 'SBI', 'SBI launches Rs 25,000 crore QIP, floor price at Rs 811.05 per share  The Economic Times', 'https://news.google.com/rss/articles/CBMizwFBVV95cUxQRld3aVFYbkRSdmxxWm90a0dfM3dqNTg1OTE1cGJpbnhTVmJwbXlCUlJmWXpROXFmNWQwNlg3ZC1CRGVNOGduZXRDYWhmVDVMc2FyQ291VkZXeTIwdzlGZDBHaDFUSnh6bEp4clk3RUJTUjRkaG44NjhIcEowQzFwdDJySTdkckpfYmp0UEF0aDRwSUFzNmFGbzk4a0pQNTRjR2pjV3hxLWhOaUFtRVpyMWJEZWFCX1BsNm9hd1g5bjJIS1lRVVBEejQ2c2RMVG_SAdQBQVVfeXFMUGVjVmMwUmE1eUl3clVtUXYyWlUzcHlTdjIzZmhTQ2FvdzRYejdWVm5RbENiamF5RnQ1MVMzdHVfLWthX3MwdE81SE9MUXh2WUFOcHhucVp3R2hwV0wzOEZKQmtFbUhRVHI4NFFOcjlvUThKVDVZdEJmTC0tdXptTDc5UGZfZVpwYl85WVFNZl9kcWNiQlowOXN4Ym5lYkdOazhrVGdRVHNFaWZERHp2UUJITDQ4MVZ5MF9PWG1wdWE3dVA1N2RjbkRUbkRONFItQUhmWjk?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T12:28:06', 'WIPRO', 'Wipro Q1 results preview: Revenue, profit may see a sequential decline; guidance, deal wins to be in focus  Mint', 'https://news.google.com/rss/articles/CBMiggJBVV95cUxPN2drZHJuVmRkSXBxdG1qX3dIMWc5UjA4Wl9jWWhWQnR0RzZrWVVrZVlFUDJyZmMzT2FtUXVHRVZLSU9pbHhmRElwOFZ0azBEdnlHZ3o3ZWxVblluNEx1cG5YS0RfQmN4MW51amVQdWVDOExrUTByb2dralY2X2hKSEI4RWNOd2UtNnRjaF85TklHc2l6bmpUWFN0RkpDY2V3T1VuanN5ZG5EVjFVVGR1V25BUnUyWHpXNnl5NDAxYlhPR0ZycDl5Q0F1WGFVNUxTMXZjZ0ZnejEwRnhDZ1dwRm5ad1Ryd3VlTHlYNDYxYnVpOWg4RlpKTF80OTBNN3gtQ1HSAYcCQVVfeXFMTjdJU2VxVnJfNTVJaW5OVXo4c1hqVUdBLTNsU1BRMmJESHVyZ1V4Y0JlZUtQRDVHNm1RcmdGSU14UjVuSTZUTjFFZWd6M3ZyQmxZd0VXNVVDbjhMcDNWTUZiNWhUUThlTDlkMVhuN3FrTUZQeXViOE0wWGFBZ1J6SlJXSkV3RFZpb2ZndEx0M3B4ZFhaRk1tX0kyQlh5VjJaSHdONUxpM2otU0Q3WXNwSU52b2hfd3FuR2VNQVAwSjdXM0RZMEtOeE00U3h3VlBTRTV2SndDbDFzVzQ3ZDEwM1NIdG5MemxBVmFCa0haS0dhbW9qNHBGbExzenlCNFc3VDlqUTVjZTA?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T12:29:27', 'NTPC', "Cabinet Clears NTPC's Rs 20,000-Crore Investment In Renewable Energy  News18", 'https://news.google.com/rss/articles/CBMisAFBVV95cUxQUVFzRjlhNzNEX2RCZ0xwQnIzMGZvdmR4VkhXdGZjeFR1WTFWbXE4dmhFVWV3bTBHVmFralNHLWRrNE9oTmh3RjFqSFYzd3lXOWgxeHphNF9CU0o4VWEyZW9GNUVPUlpXaTVwT2RIOFRhekVPbk1uTE0xYVBTbW8wb0wtOVBhOHo0T0liTE51NVN2M3MwRGRCaE1NaTJUTHJpVkVSTDF1M1ZIX3Y5TktxNNIBtgFBVV95cUxPLV9fQWJBU2lWaThqZm11THhweUxpd2pVeXJhN192eWNNbmU4UDVEQ0ZqSHhQTF9Md0s2MnZMQVVsZ1pQaGRDNXZYeDJzR2JWZ0ItT3hta2p2TzY0SWd1d0tSeWM0Q1RvY1h5ZVMyUkpKbWJzRHZsZFZKbHFVTlBoRmtXeEhSZjVPT1FWVk9ja1RPOUt0ZlROdkNuRzMxREVjNGpNcEVxWE9ZRkZLajVLek5rbTJJZw?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T12:32:38', 'WIPRO', 'Q1FY26 preview: Wipro braces for flat revenue, weaker margins  BusinessLine', 'https://news.google.com/rss/articles/CBMixAFBVV95cUxOdmM3ckpad21zWjZ3d2F5amtEV21NSWVqX1dNMWQxYzd2aUZ0RHhTMURhb2s3dDZaQlJiZ0ttSFYzV3VqcDNNVXhrekc1bE8wNTFSQlhYRnkwLVJYVU1LMzFMWDFJV2NmYTlSZ19jMEg1aHhMVnpCeC01UGFDUkF6VmJZbzRBa1pWQVhaVUdwUlhXN0F1X2kzcVFNbE5XRmF1OTFUVFQzc2tPOWdwdzFfcXVpT1FLLTdsUi1aUE5lMWlhTTNK0gHLAUFVX3lxTE56NWl4NU1LTnR1ejlUZ1V2THlYWUh6XzJUWVZkbVV5Um1wUGVqZVRDdjd1NWFXSVVLV3hTWGlXQThxUHljTTEyQU0wQ08tSUJwbjRyWW54ZHZPcDRrQWlaUVluVVpwWGJQMmZWb2FSc2JkVTFKejdQR0VPbVUwb1lIWTdLTHNFd0Qyazl4Y0tWM1NULU5TV3o5SkVqV0VGMHZCS0hza0tCRnpsTHRObUdsNjhqWlRvU2xpVHlTTUNUbmFzQUdGb1E4eHFF?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T12:33:57', 'SBI', 'SBI to issue up to ₹20,000 crore bonds to domestic investors in FY26  Mint', 'https://news.google.com/rss/articles/CBMixwFBVV95cUxPazkwZ3I5R2xyejRpUmhZTUNsTVJvM0JXVjNPMElxbUkxSnZZYV93aWgwOVlLT2ZXN29XM2xDczVZdGJXR21ucWhuUVlsYzBtQUxPaUc5SkxKaWh4WU1lLXJ6ZTN5TU1zd1dXRHZ5YXpTV0UxblB2cE9DMFBtdkJWWDgzMTdFRFNrb3JTdVdmNTZ4VjFib2ZNbVpJc2hhM0dGOGxsdXp1OTMzeWZTZ1ktTTI4SThNODBwUnRmR3Ricm9WUjNKdjJz0gHMAUFVX3lxTFBVMWE3WkFNaXZvWFRrZTRyc2VubVVDSEMxeVhjWWdzaDUxbjRRZWptc005UGhoazVkUDhfNmZXYkUyLTRjYkF5b2RzSVZucVBrQU1hUkVLaTZYTDA3MnA2U3U0bnNQLXdpTWQ4V0w4d29Yc29nYXduLTZuRHhtTWZQZW9NclJXczVfdXJuOFRQS011ZmNZemdNWlg1Wm5wTHBpeW14X1ktWlJNbVpwbU5LNFotbk12MThfNV9QZEFUeXB5SlJSU2wtdEY3ag?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T12:34:55', 'TECHM', 'Hi-tech deal wins, strategic partnerships drive TechM’s Q1FY26 growth  Techcircle', 'https://news.google.com/rss/articles/CBMiqgFBVV95cUxOTEVwdDVSc3RzOGNDdHV2TUxpMnFZeUFIS3BFY2R5Y0xoU1FmT3cwRGctRW9YREc3RVN4Mzd5ejZpQk1QRFZuZjhGT3YzR29YSFRIUDRRWWNrNjA1aHI1QXIzcjhfcjRzVk1JbWU0c3FBSjFzeGRNQk0yRnBHVVlsT1JRUUdmRWdaTlpISGtXeHNQRmREWUlpX2o2ejBMbzRuNW1Zb3QwMGdkQQ?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T12:35:02', 'ITC', 'ITC will ban iPhones with BOE displays from being sold in the US - GSMArena.com news  GSMArena.com', 'https://news.google.com/rss/articles/CBMipwFBVV95cUxPeFY1alNBMDJUR0dFVDVZNXBpRWNZTDNIWUNoMlRXcllOY0xaalhhdVh6bXhzTS1rcW0yTk4xZVRpWVR4WFROdUVBVzJvUlBjZG5hbUw3Q0JLUnVlUEtUZjYtbVBaX3ZEYXZ2YlFGUjBhajBTSmQyNVlKN1VGbmtxSVB2YmxSZ05MRnRUYVNoZzhzUUVrVGZ3WmdjOTlZbU1DNFlkY3lza9IBowFBVV95cUxOQjF2cG9KRkZhWVhxa28yRUowdFkxNnR5OWQ4Q2gzczFGOGVSdkpfMVZadG83QlFiNUV4YnUxbHl4Q3RBeFI1Z1hyOF9xd0NvZjlPUVE3enlLc2hnUkdmblRyWDVvRHdQZ2tGVzFXMkpyVk4wb05KSzJvOHNrSV9RSk1OQUQ1YjhCMEkxNVlWaDAtazFodmpMX0dSNXdEZnhjU2Rj?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T12:36:24', 'MARUTI', 'Maruti Suzuki announces standardization of six airbags in Ertiga & Baleno, ex-showroom prices to rise  The Economic Times', 'https://news.google.com/rss/articles/CBMihwJBVV95cUxNS0xYUFhwM3p4eDlDMk85cUVRUi15dS01X203ZndhUEV4YThqYVpfNE1fZkRNMVU3RUo3WXFOZlRrWnJXV1dicjJHRGIwdzd6MXpJNTF1cTlScVBKakRFcUxITkhvQzVCOXNaa241bFdfUWFsb0ZkWmh0UEc0ZWU1WXh6OU0tdHMxeXVGblkyOHlidWk2c2dSNFZUMDlteUtiT2FWTTF2YUQtcUNCUmlkR3J5d0VDTk9GdmZ6LVBwckxLREstSDlYVGVKbmhpYlVMbGtuMHd0Qks0NzZfeFFnb2RhM2phM0ZkRm4tTHZnY1ZzOWFHd20zOXF5UkJFWjQwT3Vmckh6SdIBjAJBVV95cUxObVpvWVE1M0tPQkMzMTJSRmxtYWNXYk9CLUJKeEpFcGhPS2R6T3J4Q0NyWXgxVXRkQ3BEanBYTE9WWld0SFQtbFl0TXhZVDBfRVJ5Y19qdUlYNFVpajF4WWpEVmJ6QkdCUndoeXlIZUNDYU03d3M2SmNJSVBXYkxnV3NZRnhFdGcxenR6R2ZhZXlmVm1FTUxUdWZCelZON1IwNWZ4aUNxejktOHgwSWllZjY4ZEh3RThsUG1Icm16RUJTU0hEQ3hGdG1zdDJPdkZNU3dEOGtKT0lqNXlkZVZYNS1Tc2dPaEhDbWxkejkxb0Z6SVpqa3hUcDdqTmpDZDZZQ0hPWFlwOUktX1ho?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
